,0
11,0.0
12,0.0
13,0.0
14,0.0
15,190.0
16,30.0
17,110.0
18,90.0
19,205.0
20,260.0
21,250.0
22,275.0
23,30.0
0,15.0
1,35.0
2,30.0
3,55.0
4,35.0
5,0.0
6,0.0
7,210.0
8,235.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,195.0
16,10.0
17,105.0
18,90.0
19,250.0
20,210.0
21,240.0
22,220.0
23,10.0
0,25.0
1,30.0
2,30.0
3,30.0
4,45.0
5,0.0
6,0.0
7,265.0
8,215.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,205.0
16,35.0
17,105.0
18,50.0
19,280.0
20,235.0
21,275.0
22,240.0
23,20.0
0,15.0
1,35.0
2,15.0
3,20.0
4,30.0
5,0.0
6,0.0
7,210.0
8,195.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,170.0
16,30.0
17,115.0
18,95.0
19,310.0
20,255.0
21,205.0
22,250.0
23,55.0
0,15.0
1,35.0
2,25.0
3,35.0
4,50.0
5,0.0
6,0.0
7,210.0
8,200.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,240.0
16,10.0
17,105.0
18,85.0
19,275.0
20,245.0
21,275.0
22,275.0
23,15.0
0,35.0
1,30.0
2,35.0
3,35.0
4,35.0
5,0.0
6,0.0
7,200.0
8,245.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,225.0
16,30.0
17,135.0
18,110.0
19,230.0
20,260.0
21,305.0
22,225.0
23,35.0
0,50.0
1,30.0
2,30.0
3,30.0
4,40.0
5,0.0
6,0.0
7,185.0
8,225.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,230.0
16,10.0
17,95.0
18,60.0
19,215.0
20,265.0
21,240.0
22,225.0
23,15.0
0,45.0
1,15.0
2,15.0
3,55.0
4,25.0
5,0.0
6,0.0
7,250.0
8,215.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,165.0
16,35.0
17,100.0
18,85.0
19,240.0
20,215.0
21,275.0
22,255.0
23,35.0
0,25.0
1,35.0
2,50.0
3,40.0
4,35.0
5,0.0
6,0.0
7,220.0
8,225.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,175.0
16,35.0
17,90.0
18,110.0
19,265.0
20,240.0
21,305.0
22,245.0
23,25.0
0,40.0
1,25.0
2,20.0
3,20.0
4,35.0
5,0.0
6,0.0
7,230.0
8,220.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,230.0
16,30.0
17,105.0
18,150.0
19,235.0
20,200.0
21,245.0
22,240.0
23,15.0
0,30.0
1,10.0
2,35.0
3,35.0
4,40.0
5,0.0
6,0.0
7,195.0
8,235.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,205.0
16,25.0
17,75.0
18,130.0
19,200.0
20,225.0
21,295.0
22,260.0
23,15.0
0,15.0
1,20.0
2,20.0
3,25.0
4,35.0
5,0.0
6,0.0
7,205.0
8,220.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,190.0
16,35.0
17,80.0
18,105.0
19,255.0
20,200.0
21,225.0
22,265.0
23,40.0
0,10.0
1,25.0
2,50.0
3,30.0
4,65.0
5,0.0
6,0.0
7,175.0
8,150.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,210.0
16,45.0
17,100.0
18,90.0
19,275.0
20,265.0
21,220.0
22,280.0
23,30.0
0,15.0
1,30.0
2,35.0
3,25.0
4,30.0
5,0.0
6,0.0
7,195.0
8,190.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,195.0
16,40.0
17,85.0
18,80.0
19,290.0
20,280.0
21,255.0
22,255.0
23,35.0
0,45.0
1,15.0
2,20.0
3,50.0
4,10.0
5,0.0
6,0.0
7,165.0
8,195.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,225.0
16,30.0
17,100.0
18,110.0
19,215.0
20,265.0
21,215.0
22,240.0
23,50.0
0,15.0
1,25.0
2,10.0
3,45.0
4,35.0
5,0.0
6,0.0
7,215.0
8,215.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,190.0
16,35.0
17,110.0
18,95.0
19,230.0
20,235.0
21,235.0
22,270.0
23,30.0
0,20.0
1,30.0
2,20.0
3,25.0
4,30.0
5,0.0
6,0.0
7,180.0
8,180.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,215.0
16,15.0
17,90.0
18,110.0
19,190.0
20,290.0
21,260.0
22,240.0
23,25.0
0,35.0
1,35.0
2,30.0
3,35.0
4,50.0
5,0.0
6,0.0
7,215.0
8,185.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,190.0
16,50.0
17,110.0
18,65.0
19,200.0
20,230.0
21,270.0
22,270.0
23,60.0
0,25.0
1,30.0
2,75.0
3,25.0
4,15.0
5,0.0
6,0.0
7,175.0
8,165.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,195.0
16,10.0
17,100.0
18,125.0
19,260.0
20,255.0
21,245.0
22,265.0
23,20.0
0,10.0
1,25.0
2,5.0
3,10.0
4,35.0
5,0.0
6,0.0
7,205.0
8,195.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,205.0
16,40.0
17,95.0
18,95.0
19,240.0
20,275.0
21,270.0
22,275.0
23,40.0
0,10.0
1,30.0
2,35.0
3,15.0
4,20.0
5,0.0
6,0.0
7,235.0
8,205.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,245.0
16,45.0
17,70.0
18,105.0
19,230.0
20,220.0
21,265.0
22,250.0
23,15.0
0,15.0
1,10.0
2,30.0
3,30.0
4,35.0
5,0.0
6,0.0
7,195.0
8,190.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,200.0
16,35.0
17,85.0
18,100.0
19,260.0
20,280.0
21,215.0
22,245.0
23,65.0
0,40.0
1,25.0
2,35.0
3,30.0
4,25.0
5,0.0
6,0.0
7,155.0
8,195.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,195.0
16,25.0
17,65.0
18,105.0
19,265.0
20,240.0
21,230.0
22,250.0
23,25.0
0,20.0
1,15.0
2,20.0
3,15.0
4,45.0
5,0.0
6,0.0
7,220.0
8,200.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,185.0
16,60.0
17,95.0
18,65.0
19,255.0
20,185.0
21,295.0
22,265.0
23,20.0
0,35.0
1,25.0
2,15.0
3,5.0
4,25.0
5,0.0
6,0.0
7,220.0
8,190.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,180.0
16,30.0
17,100.0
18,70.0
19,235.0
20,210.0
21,225.0
22,230.0
23,35.0
0,20.0
1,30.0
2,60.0
3,30.0
4,30.0
5,0.0
6,0.0
7,215.0
8,210.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,180.0
16,25.0
17,105.0
18,85.0
19,250.0
20,250.0
21,290.0
22,280.0
23,30.0
0,30.0
1,30.0
2,15.0
3,20.0
4,50.0
5,0.0
6,0.0
7,210.0
8,200.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,235.0
16,30.0
17,75.0
18,85.0
19,235.0
20,285.0
21,260.0
22,255.0
23,35.0
0,40.0
1,50.0
2,25.0
3,25.0
4,40.0
5,0.0
6,0.0
7,200.0
8,190.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,195.0
16,20.0
17,115.0
18,130.0
19,235.0
20,230.0
21,230.0
22,255.0
23,35.0
0,25.0
1,30.0
2,35.0
3,30.0
4,20.0
5,0.0
6,0.0
7,220.0
8,180.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,170.0
16,20.0
17,75.0
18,140.0
19,255.0
20,240.0
21,260.0
22,215.0
23,45.0
0,30.0
1,35.0
2,45.0
3,30.0
4,25.0
5,0.0
6,0.0
7,245.0
8,230.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,175.0
16,20.0
17,65.0
18,85.0
19,225.0
20,275.0
21,240.0
22,255.0
23,30.0
0,35.0
1,15.0
2,35.0
3,25.0
4,25.0
5,0.0
6,0.0
7,200.0
8,215.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,150.0
16,30.0
17,75.0
18,90.0
19,260.0
20,205.0
21,245.0
22,250.0
23,20.0
0,30.0
1,30.0
2,25.0
3,15.0
4,35.0
5,0.0
6,0.0
7,185.0
8,195.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,185.0
16,30.0
17,100.0
18,100.0
19,290.0
20,240.0
21,250.0
22,225.0
23,50.0
0,20.0
1,45.0
2,25.0
3,45.0
4,20.0
5,0.0
6,0.0
7,195.0
8,195.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,205.0
16,30.0
17,110.0
18,95.0
19,265.0
20,200.0
21,205.0
22,235.0
23,30.0
0,30.0
1,35.0
2,15.0
3,35.0
4,20.0
5,0.0
6,0.0
7,250.0
8,225.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,190.0
16,15.0
17,110.0
18,100.0
19,250.0
20,255.0
21,225.0
22,220.0
23,15.0
0,15.0
1,40.0
2,35.0
3,30.0
4,25.0
5,0.0
6,0.0
7,210.0
8,165.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,220.0
16,35.0
17,125.0
18,100.0
19,255.0
20,250.0
21,330.0
22,280.0
23,45.0
0,35.0
1,15.0
2,25.0
3,45.0
4,55.0
5,0.0
6,0.0
7,215.0
8,170.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,160.0
16,40.0
17,125.0
18,110.0
19,265.0
20,275.0
21,255.0
22,205.0
23,35.0
0,30.0
1,20.0
2,40.0
3,30.0
4,15.0
5,0.0
6,0.0
7,195.0
8,220.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,155.0
16,30.0
17,80.0
18,100.0
19,260.0
20,285.0
21,240.0
22,240.0
23,20.0
0,20.0
1,20.0
2,30.0
3,20.0
4,35.0
5,0.0
6,0.0
7,205.0
8,200.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,185.0
16,40.0
17,105.0
18,90.0
19,220.0
20,220.0
21,255.0
22,210.0
23,40.0
0,25.0
1,45.0
2,20.0
3,35.0
4,30.0
5,0.0
6,0.0
7,270.0
8,195.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,180.0
16,50.0
17,95.0
18,130.0
19,230.0
20,230.0
21,290.0
22,225.0
23,45.0
0,30.0
1,35.0
2,30.0
3,30.0
4,30.0
5,0.0
6,0.0
7,215.0
8,225.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,210.0
16,50.0
17,90.0
18,110.0
19,260.0
20,275.0
21,250.0
22,275.0
23,70.0
0,35.0
1,35.0
2,15.0
3,25.0
4,30.0
5,0.0
6,0.0
7,185.0
8,195.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,200.0
16,40.0
17,80.0
18,105.0
19,250.0
20,285.0
21,245.0
22,255.0
23,10.0
0,20.0
1,45.0
2,55.0
3,15.0
4,20.0
5,0.0
6,0.0
7,185.0
8,170.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,200.0
16,25.0
17,105.0
18,115.0
19,255.0
20,205.0
21,255.0
22,240.0
23,35.0
0,25.0
1,35.0
2,45.0
3,30.0
4,35.0
5,0.0
6,0.0
7,205.0
8,160.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,225.0
16,40.0
17,110.0
18,105.0
19,280.0
20,245.0
21,270.0
22,245.0
23,35.0
0,40.0
1,30.0
2,40.0
3,30.0
4,35.0
5,0.0
6,0.0
7,180.0
8,170.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,200.0
16,20.0
17,60.0
18,95.0
19,225.0
20,270.0
21,235.0
22,300.0
23,25.0
0,15.0
1,15.0
2,45.0
3,15.0
4,45.0
5,0.0
6,0.0
7,210.0
8,190.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,220.0
16,40.0
17,90.0
18,85.0
19,240.0
20,280.0
21,250.0
22,230.0
23,30.0
0,50.0
1,30.0
2,35.0
3,15.0
4,25.0
5,0.0
6,0.0
7,205.0
8,260.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,215.0
16,35.0
17,95.0
18,105.0
19,290.0
20,270.0
21,275.0
22,255.0
23,60.0
0,45.0
1,35.0
2,30.0
3,30.0
4,30.0
5,0.0
6,0.0
7,210.0
8,205.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,190.0
16,20.0
17,120.0
18,125.0
19,255.0
20,230.0
21,210.0
22,230.0
23,10.0
0,15.0
1,20.0
2,15.0
3,20.0
4,30.0
5,0.0
6,0.0
7,195.0
8,180.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,190.0
16,55.0
17,80.0
18,80.0
19,240.0
20,225.0
21,295.0
22,225.0
23,40.0
0,15.0
1,30.0
2,30.0
3,25.0
4,40.0
5,0.0
6,0.0
7,230.0
8,215.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,175.0
16,40.0
17,95.0
18,110.0
19,275.0
20,255.0
21,205.0
22,235.0
23,35.0
0,15.0
1,35.0
2,35.0
3,40.0
4,40.0
5,0.0
6,0.0
7,190.0
8,185.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,210.0
16,30.0
17,90.0
18,90.0
19,250.0
20,225.0
21,245.0
22,280.0
23,30.0
0,35.0
1,45.0
2,25.0
3,50.0
4,25.0
5,0.0
6,0.0
7,230.0
8,165.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,160.0
16,45.0
17,90.0
18,100.0
19,240.0
20,250.0
21,220.0
22,235.0
23,35.0
0,25.0
1,40.0
2,25.0
3,25.0
4,45.0
5,0.0
6,0.0
7,165.0
8,165.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,205.0
16,25.0
17,130.0
18,110.0
19,225.0
20,250.0
21,285.0
22,255.0
23,35.0
0,25.0
1,30.0
2,35.0
3,40.0
4,30.0
5,0.0
6,0.0
7,210.0
8,195.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,210.0
16,45.0
17,80.0
18,105.0
19,235.0
20,260.0
21,255.0
22,320.0
23,40.0
0,30.0
1,20.0
2,20.0
3,15.0
4,20.0
5,0.0
6,0.0
7,225.0
8,200.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,220.0
16,20.0
17,80.0
18,90.0
19,265.0
20,260.0
21,225.0
22,235.0
23,15.0
0,35.0
1,35.0
2,35.0
3,30.0
4,35.0
5,0.0
6,0.0
7,195.0
8,215.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,230.0
16,45.0
17,120.0
18,70.0
19,270.0
20,280.0
21,210.0
22,280.0
23,20.0
0,45.0
1,25.0
2,30.0
3,25.0
4,20.0
5,0.0
6,0.0
7,185.0
8,165.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,155.0
16,55.0
17,130.0
18,115.0
19,240.0
20,255.0
21,225.0
22,255.0
23,50.0
0,40.0
1,25.0
2,30.0
3,25.0
4,25.0
5,0.0
6,0.0
7,195.0
8,175.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,155.0
16,40.0
17,100.0
18,75.0
19,260.0
20,210.0
21,235.0
22,250.0
23,35.0
0,5.0
1,35.0
2,35.0
3,55.0
4,20.0
5,0.0
6,0.0
7,215.0
8,245.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,155.0
16,30.0
17,60.0
18,105.0
19,250.0
20,250.0
21,240.0
22,250.0
23,30.0
0,30.0
1,40.0
2,40.0
3,20.0
4,40.0
5,0.0
6,0.0
7,210.0
8,225.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,180.0
16,10.0
17,90.0
18,80.0
19,190.0
20,240.0
21,265.0
22,305.0
23,25.0
0,25.0
1,30.0
2,25.0
3,30.0
4,35.0
5,0.0
6,0.0
7,170.0
8,185.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,185.0
16,20.0
17,100.0
18,115.0
19,240.0
20,215.0
21,240.0
22,245.0
23,30.0
0,30.0
1,45.0
2,40.0
3,0.0
4,35.0
5,0.0
6,0.0
7,205.0
8,225.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,245.0
16,40.0
17,80.0
18,120.0
19,260.0
20,270.0
21,240.0
22,280.0
23,30.0
0,40.0
1,30.0
2,35.0
3,30.0
4,25.0
5,0.0
6,0.0
7,195.0
8,180.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,210.0
16,25.0
17,85.0
18,110.0
19,220.0
20,230.0
21,235.0
22,275.0
23,25.0
0,25.0
1,50.0
2,20.0
3,30.0
4,35.0
5,0.0
6,0.0
7,190.0
8,155.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,205.0
16,15.0
17,100.0
18,85.0
19,255.0
20,250.0
21,210.0
22,270.0
23,25.0
0,10.0
1,40.0
2,20.0
3,40.0
4,30.0
5,0.0
6,0.0
7,200.0
8,215.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,185.0
16,35.0
17,105.0
18,115.0
19,215.0
20,225.0
21,270.0
22,270.0
23,25.0
0,15.0
1,30.0
2,25.0
3,30.0
4,40.0
5,0.0
6,0.0
7,220.0
8,185.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,235.0
16,25.0
17,90.0
18,95.0
19,250.0
20,265.0
21,275.0
22,280.0
23,25.0
0,35.0
1,20.0
2,50.0
3,25.0
4,40.0
5,0.0
6,0.0
7,185.0
8,150.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,170.0
16,20.0
17,85.0
18,85.0
19,270.0
20,240.0
21,245.0
22,210.0
23,35.0
0,25.0
1,50.0
2,35.0
3,30.0
4,15.0
5,0.0
6,0.0
7,160.0
8,165.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,215.0
16,25.0
17,85.0
18,95.0
19,290.0
20,245.0
21,305.0
22,250.0
23,40.0
0,45.0
1,35.0
2,40.0
3,45.0
4,5.0
5,0.0
6,0.0
7,240.0
8,170.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,180.0
16,20.0
17,85.0
18,75.0
19,305.0
20,245.0
21,245.0
22,235.0
23,40.0
0,30.0
1,25.0
2,20.0
3,45.0
4,30.0
5,0.0
6,0.0
7,200.0
8,175.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,255.0
16,5.0
17,105.0
18,100.0
19,255.0
20,285.0
21,235.0
22,290.0
23,25.0
0,50.0
1,25.0
2,35.0
3,15.0
4,30.0
5,0.0
6,0.0
7,240.0
8,205.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,165.0
16,30.0
17,140.0
18,95.0
19,265.0
20,250.0
21,255.0
22,260.0
23,35.0
0,45.0
1,15.0
2,65.0
3,35.0
4,15.0
5,0.0
6,0.0
7,205.0
8,200.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,195.0
16,40.0
17,110.0
18,80.0
19,280.0
20,220.0
21,300.0
22,240.0
23,45.0
0,30.0
1,20.0
2,20.0
3,30.0
4,20.0
5,0.0
6,0.0
7,200.0
8,180.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,225.0
16,40.0
17,95.0
18,85.0
19,195.0
20,220.0
21,235.0
22,250.0
23,30.0
0,30.0
1,35.0
2,45.0
3,20.0
4,15.0
5,0.0
6,0.0
7,205.0
8,180.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,205.0
16,50.0
17,80.0
18,85.0
19,225.0
20,235.0
21,250.0
22,245.0
23,25.0
0,20.0
1,25.0
2,45.0
3,15.0
4,20.0
5,0.0
6,0.0
7,205.0
8,195.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,240.0
16,20.0
17,90.0
18,95.0
19,245.0
20,255.0
21,245.0
22,260.0
23,10.0
0,25.0
1,60.0
2,10.0
3,10.0
4,40.0
5,0.0
6,0.0
7,220.0
8,220.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,205.0
16,15.0
17,100.0
18,90.0
19,240.0
20,210.0
21,260.0
22,175.0
23,25.0
0,40.0
1,15.0
2,35.0
3,25.0
4,30.0
5,0.0
6,0.0
7,205.0
8,185.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,235.0
16,30.0
17,130.0
18,95.0
19,235.0
20,255.0
21,275.0
22,290.0
23,40.0
0,25.0
1,35.0
2,25.0
3,10.0
4,40.0
5,0.0
6,0.0
7,270.0
8,200.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,215.0
16,55.0
17,100.0
18,105.0
19,265.0
20,235.0
21,215.0
22,245.0
23,30.0
0,20.0
1,40.0
2,40.0
3,10.0
4,5.0
5,0.0
6,0.0
7,160.0
8,200.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,195.0
16,15.0
17,100.0
18,120.0
19,250.0
20,245.0
21,245.0
22,260.0
23,35.0
0,40.0
1,20.0
2,25.0
3,25.0
4,30.0
5,0.0
6,0.0
7,190.0
8,200.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,215.0
16,25.0
17,95.0
18,90.0
19,245.0
20,220.0
21,195.0
22,260.0
23,35.0
0,40.0
1,10.0
2,40.0
3,5.0
4,30.0
5,0.0
6,0.0
7,195.0
8,205.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,210.0
16,25.0
17,125.0
18,95.0
19,295.0
20,245.0
21,255.0
22,270.0
23,45.0
0,20.0
1,30.0
2,45.0
3,35.0
4,20.0
5,0.0
6,0.0
7,245.0
8,210.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,185.0
16,20.0
17,90.0
18,105.0
19,310.0
20,300.0
21,250.0
22,300.0
23,45.0
0,45.0
1,30.0
2,50.0
3,20.0
4,25.0
5,0.0
6,0.0
7,210.0
8,215.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,175.0
16,30.0
17,95.0
18,90.0
19,240.0
20,280.0
21,220.0
22,240.0
23,45.0
0,55.0
1,25.0
2,40.0
3,50.0
4,25.0
5,0.0
6,0.0
7,205.0
8,190.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,190.0
16,30.0
17,105.0
18,95.0
19,235.0
20,240.0
21,220.0
22,255.0
23,35.0
0,25.0
1,30.0
2,25.0
3,25.0
4,30.0
5,0.0
6,0.0
7,225.0
8,200.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,165.0
16,50.0
17,70.0
18,85.0
19,245.0
20,240.0
21,275.0
22,235.0
23,40.0
0,15.0
1,35.0
2,35.0
3,30.0
4,60.0
5,0.0
6,0.0
7,205.0
8,215.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,210.0
16,5.0
17,105.0
18,100.0
19,255.0
20,260.0
21,250.0
22,220.0
23,35.0
0,20.0
1,25.0
2,35.0
3,55.0
4,35.0
5,0.0
6,0.0
7,200.0
8,175.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,200.0
16,40.0
17,130.0
18,90.0
19,250.0
20,235.0
21,210.0
22,275.0
23,15.0
0,5.0
1,40.0
2,35.0
3,30.0
4,45.0
5,0.0
6,0.0
7,210.0
8,210.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,200.0
16,10.0
17,90.0
18,60.0
19,240.0
20,240.0
21,250.0
22,280.0
23,20.0
0,20.0
1,40.0
2,25.0
3,25.0
4,35.0
5,0.0
6,0.0
7,210.0
8,175.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,160.0
16,25.0
17,120.0
18,95.0
19,280.0
20,255.0
21,265.0
22,285.0
23,30.0
0,15.0
1,30.0
2,30.0
3,20.0
4,0.0
5,0.0
6,0.0
7,255.0
8,190.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,220.0
16,35.0
17,80.0
18,120.0
19,230.0
20,255.0
21,280.0
22,235.0
23,25.0
0,35.0
1,25.0
2,25.0
3,15.0
4,25.0
5,0.0
6,0.0
7,210.0
8,200.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,220.0
16,30.0
17,65.0
18,60.0
19,270.0
20,270.0
21,255.0
22,215.0
23,45.0
0,25.0
1,25.0
2,20.0
3,35.0
4,20.0
5,0.0
6,0.0
7,205.0
8,200.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,195.0
16,20.0
17,120.0
18,130.0
19,275.0
20,220.0
21,255.0
22,265.0
23,40.0
0,25.0
1,35.0
2,30.0
3,45.0
4,15.0
5,0.0
6,0.0
7,235.0
8,190.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,235.0
16,25.0
17,130.0
18,80.0
19,270.0
20,250.0
21,245.0
22,265.0
23,25.0
0,30.0
1,35.0
2,30.0
3,45.0
4,10.0
5,0.0
6,0.0
7,245.0
8,200.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,185.0
16,25.0
17,65.0
18,120.0
19,290.0
20,260.0
21,225.0
22,245.0
23,45.0
0,35.0
1,25.0
2,40.0
3,25.0
4,35.0
5,0.0
6,0.0
7,175.0
8,225.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,195.0
16,30.0
17,110.0
18,105.0
19,280.0
20,260.0
21,215.0
22,265.0
23,55.0
0,40.0
1,25.0
2,25.0
3,35.0
4,15.0
5,0.0
6,0.0
7,230.0
8,230.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,225.0
16,25.0
17,65.0
18,60.0
19,210.0
20,285.0
21,260.0
22,320.0
23,25.0
0,30.0
1,25.0
2,30.0
3,35.0
4,50.0
5,0.0
6,0.0
7,200.0
8,180.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,210.0
16,20.0
17,85.0
18,120.0
19,270.0
20,265.0
21,270.0
22,280.0
23,15.0
0,40.0
1,30.0
2,30.0
3,25.0
4,25.0
5,0.0
6,0.0
7,185.0
8,190.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,200.0
16,45.0
17,130.0
18,115.0
19,270.0
20,230.0
21,275.0
22,270.0
23,45.0
0,15.0
1,25.0
2,50.0
3,15.0
4,5.0
5,0.0
6,0.0
7,200.0
8,195.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
